epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.336,1.39038,1.03282,0.91866,0.72637,0.46858,0.52477,0.29831,1.22407,0.63232,0.84411,0.00333076,0.00333076,0.00333076
2,339.039,1.27967,0.69151,0.88232,0.72846,0.51458,0.5607,0.33433,1.0713,0.5921,0.83664,0.00660412,0.00660412,0.00660412
3,499.375,1.2853,0.69616,0.88725,0.71092,0.50383,0.55424,0.33524,1.06332,0.59983,0.84168,0.00981748,0.00981748,0.00981748
4,658.089,1.25563,0.67641,0.88594,0.72672,0.51359,0.5726,0.35188,1.01709,0.55452,0.83424,0.00973,0.00973,0.00973
5,816.513,1.17902,0.62432,0.87192,0.75611,0.5319,0.59967,0.37456,0.99586,0.53264,0.82935,0.00964,0.00964,0.00964
6,974.762,1.11104,0.58685,0.86194,0.75315,0.55115,0.60511,0.38179,0.96499,0.51063,0.82514,0.00955,0.00955,0.00955
7,1132.83,1.07813,0.56452,0.85693,0.75844,0.5639,0.61716,0.39694,0.92621,0.4885,0.81981,0.00946,0.00946,0.00946
8,1291.72,1.05289,0.55125,0.85312,0.77598,0.56457,0.61974,0.39798,0.91734,0.47995,0.81746,0.00937,0.00937,0.00937
9,1449.95,1.03181,0.53816,0.84959,0.77759,0.56965,0.63184,0.40593,0.90735,0.46894,0.81564,0.00928,0.00928,0.00928
10,1607.86,1.01572,0.52773,0.84773,0.77272,0.57215,0.63247,0.41015,0.89887,0.4611,0.81515,0.00919,0.00919,0.00919
11,1766.05,0.99695,0.51658,0.84596,0.77257,0.5803,0.63665,0.41415,0.88379,0.45184,0.812,0.0091,0.0091,0.0091
12,1924.65,0.9803,0.50765,0.84355,0.78836,0.58506,0.64265,0.41822,0.87821,0.44579,0.81136,0.00901,0.00901,0.00901
13,2083.42,0.97153,0.50102,0.84097,0.78,0.5829,0.64337,0.42217,0.86492,0.43856,0.80902,0.00892,0.00892,0.00892
14,2241.88,0.96376,0.49473,0.83973,0.76843,0.59119,0.6516,0.43032,0.85861,0.43275,0.80916,0.00883,0.00883,0.00883
15,2400.15,0.95307,0.48943,0.83741,0.76019,0.59382,0.64863,0.42814,0.85359,0.42856,0.80821,0.00874,0.00874,0.00874
16,2558.53,0.95331,0.4884,0.83835,0.78327,0.59535,0.65454,0.43355,0.8467,0.42498,0.80773,0.00865,0.00865,0.00865
17,2716.15,0.93558,0.47875,0.83534,0.78568,0.59799,0.65939,0.43771,0.84264,0.4191,0.8069,0.00856,0.00856,0.00856
18,2873.77,0.93689,0.47747,0.83523,0.78815,0.60034,0.66108,0.43845,0.83959,0.41489,0.80637,0.00847,0.00847,0.00847
19,3032.17,0.92763,0.47238,0.83432,0.7893,0.60328,0.66489,0.44445,0.82927,0.41123,0.80518,0.00838,0.00838,0.00838
20,3190.9,0.92037,0.46835,0.83318,0.78784,0.60691,0.66513,0.44363,0.8253,0.40605,0.80416,0.00829,0.00829,0.00829
21,3348.48,0.91192,0.46462,0.83217,0.78518,0.60316,0.66573,0.44556,0.82499,0.40429,0.80453,0.0082,0.0082,0.0082
22,3507.38,0.90946,0.46323,0.83191,0.78629,0.60476,0.66771,0.44831,0.81499,0.40232,0.80262,0.00811,0.00811,0.00811
23,3665.77,0.90588,0.45945,0.82986,0.78855,0.60963,0.66987,0.44844,0.81301,0.39831,0.80237,0.00802,0.00802,0.00802
24,3824.15,0.90397,0.45862,0.8306,0.78915,0.61368,0.67396,0.45278,0.81097,0.39528,0.80222,0.00793,0.00793,0.00793
25,3982.66,0.89507,0.45505,0.82865,0.79938,0.61086,0.67552,0.45419,0.8112,0.39353,0.80205,0.00784,0.00784,0.00784
26,4140.87,0.89366,0.45215,0.82865,0.78793,0.60837,0.67288,0.45276,0.80706,0.39114,0.80217,0.00775,0.00775,0.00775
27,4299.41,0.88603,0.44836,0.82808,0.79816,0.60939,0.67765,0.45708,0.80296,0.3894,0.80113,0.00766,0.00766,0.00766
28,4458.33,0.88309,0.44611,0.82836,0.79774,0.61407,0.67899,0.45876,0.80111,0.38717,0.80097,0.00757,0.00757,0.00757
29,4616.86,0.88232,0.44458,0.8276,0.79839,0.61571,0.6791,0.45961,0.79822,0.38527,0.8007,0.00748,0.00748,0.00748
30,4775.39,0.87375,0.44145,0.82616,0.79988,0.61512,0.68032,0.46002,0.79612,0.38303,0.80041,0.00739,0.00739,0.00739
31,4934.35,0.87483,0.44012,0.82603,0.80069,0.61574,0.68152,0.46142,0.79433,0.38217,0.8002,0.0073,0.0073,0.0073
32,5093.28,0.86937,0.43827,0.82561,0.80525,0.61447,0.68221,0.46265,0.79247,0.38043,0.79986,0.00721,0.00721,0.00721
33,5251.36,0.86733,0.43607,0.82463,0.79828,0.61821,0.68205,0.46315,0.79126,0.37959,0.79927,0.00712,0.00712,0.00712
34,5409.92,0.86584,0.4352,0.82465,0.79962,0.61974,0.6858,0.46561,0.78987,0.37808,0.7993,0.00703,0.00703,0.00703
35,5568.37,0.86161,0.43297,0.8236,0.80054,0.61762,0.68605,0.46569,0.78895,0.37705,0.79913,0.00694,0.00694,0.00694
36,5726.61,0.85832,0.43,0.82403,0.80097,0.61644,0.68486,0.46628,0.78725,0.37617,0.79894,0.00685,0.00685,0.00685
37,5885.43,0.85358,0.42811,0.82343,0.80577,0.61545,0.68528,0.4672,0.78547,0.37456,0.79893,0.00676,0.00676,0.00676
38,6043.93,0.85485,0.42744,0.82321,0.79769,0.61972,0.68544,0.46831,0.78375,0.37351,0.79868,0.00667,0.00667,0.00667
39,6202.56,0.85097,0.42532,0.82285,0.79705,0.62153,0.68637,0.46929,0.78206,0.372,0.79849,0.00658,0.00658,0.00658
40,6360.8,0.84965,0.42467,0.82333,0.79258,0.6243,0.68782,0.46999,0.78086,0.37114,0.79828,0.00649,0.00649,0.00649
41,6519.46,0.84607,0.42237,0.82262,0.79676,0.62166,0.6878,0.4704,0.77977,0.37067,0.7981,0.0064,0.0064,0.0064
42,6677.98,0.84204,0.42088,0.82116,0.80158,0.6207,0.68831,0.47066,0.77883,0.36968,0.79803,0.00631,0.00631,0.00631
43,6836.43,0.84143,0.41988,0.82081,0.79765,0.62245,0.68826,0.47111,0.77822,0.36895,0.79796,0.00622,0.00622,0.00622
44,6995.03,0.83899,0.41785,0.82099,0.79618,0.62244,0.68851,0.47157,0.77759,0.36832,0.79789,0.00613,0.00613,0.00613
45,7154.16,0.83635,0.41748,0.82058,0.7976,0.62399,0.68935,0.47232,0.7768,0.36806,0.79777,0.00604,0.00604,0.00604
46,7312.87,0.83574,0.4152,0.82039,0.80081,0.62359,0.68957,0.47238,0.7759,0.3671,0.7977,0.00595,0.00595,0.00595
47,7472.41,0.8285,0.4132,0.82005,0.79844,0.62573,0.68991,0.47261,0.77549,0.36626,0.79759,0.00586,0.00586,0.00586
48,7631.4,0.82865,0.41268,0.8195,0.7982,0.62525,0.68965,0.4733,0.7744,0.36588,0.79748,0.00577,0.00577,0.00577
49,7790.17,0.82593,0.41093,0.81907,0.8047,0.62133,0.68999,0.47332,0.77356,0.36537,0.79736,0.00568,0.00568,0.00568
50,7949.81,0.82707,0.41019,0.81878,0.80506,0.62156,0.69038,0.47387,0.77313,0.36487,0.79723,0.00559,0.00559,0.00559
51,8108.32,0.82181,0.40819,0.8193,0.80339,0.62215,0.69064,0.47422,0.77281,0.36434,0.79714,0.0055,0.0055,0.0055
52,8266.94,0.82256,0.4078,0.81895,0.8039,0.62338,0.69129,0.47415,0.77244,0.3641,0.79714,0.00541,0.00541,0.00541
53,8425.26,0.81612,0.40431,0.81788,0.80088,0.62539,0.6915,0.4744,0.77189,0.36353,0.79711,0.00532,0.00532,0.00532
54,8583.85,0.81461,0.4041,0.81852,0.80028,0.6253,0.69149,0.47482,0.77138,0.36338,0.797,0.00523,0.00523,0.00523
